Coleção;Identificação;Grupo;Série;Subsérie;Espécie/Tipologia;Descrição;Título;Título atribuído;Data;Data / Periodo;;Autoria;Idioma;Quantidade;Local de produção;Veículo de publicação;Local de publicação;Tipo de publicação;Gênero ;Forma;Formato;Escritura;Suporte;Dimensão;Estado de Conservação;Observações;Documentos relacionados;Número da caixa;;Nome da caixa;Número da pasta;Nome da pasta;NUMERO SERIE
1;BRFM_RI_01_001;2;2;;6;Classificação da série Aureos Tempos, de Frederico Morais, para receber o Prêmio Esso de Jornalismo.;Ganhou o Esso Mostrando o Ouro de Minas no Mundo;NULL;;;;;1;1 página;;3;;1;1;Original;1;Impresso;1;13,50 x 19,50 cm;Acidificado / Amarelado;;;;;;1;1;1
1;BRFM_RI_01_002;2;2;;96;Entrega do Prêmio Esso de Jornalismo a três jornalistas do jornal Estado de Minas, incluindo o crítico de arte Frederico Morais.;Prêmio Esso de Reportagem conferido a três jornalistas do Estado dde Minas;NULL;1965-05-19;;;;1;1 página;;2;;;1;Original;1;Impresso;1;17,00 x 21,00 cm;Acidificado / Amarelado;;;;;;1;1;2
1;BRFM_RI_01_003;2;2;;80;Exposição de Frederico Morais sobre a Rio-Bahia, realizada no Clube dos Diretores Lojistas de Belo Horizonte.;Exposição sobre a Rio-Bahia no Clube dos Lojistas;NULL;;;;;1;1 página;;2;;;1;Original;1;Impresso;1;5,00 x 13,00 cm;Acidificado / Amarelado;;;;;;1;1;3
1;BRFM_RI_01_004;2;2;;80;Entrega do Prêmio Esso de Jornalismo a Frederico Morais pela série de reportagens sobre a Rio-Bahia.;Outros Fatos;NULL;;;;;1;1 página;;;;;1;Original;1;Impresso;1;8,50 x 7,00 cm;Acidificado / Amarelado;;;;;;1;1;4
1;BRFM_RI_01_005;2;2;;96;Seleção dos trabalhos para concorrerem ao Prêmio Esso de Jornalismo, incluindo Frederico Morais.;Comissão seleciona seis trabalhos do Rio para disputarem o Prêmio Esso;NULL;;;;;1;1 página;;;;;1;Original;1;Impresso;1;9,00 x 12,50 cm;Acidificado / Amarelado;;;;;;1;1;5
1;BRFM_AM_01_001;1;3;;96;Conflitos no Oriente Médio.;No caldeirão explosivo do Oriente, árabes e judeus fornecem o tempero;NULL;1964-01-19;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;45,00 x 51,00 cm;Acidificado / Amarelado, Rasgado, Perda de Pedaços;;;;;;12;7;1
1;BRFM_AM_01_002;1;3;;96;Situação social e política no Líbano.;Líbano, oasis na miséria e turismo mais caro do mundo;NULL;1964-03-08;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Rasgado;;;;;;12;7;2
1;BRFM_AM_01_003;1;3;;96;Egito sob o governo de Nasser.;O Egito de Nasser, sonho e utopia de uma ditadura militar;NULL;1964-03-01;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado;;;;;;12;7;3
1;BRFM_AM_01_004;1;3;;96;Situação social e política na URSS, a vida em Moscou.;Moscou como é;NULL;;;;Frederico Morais;1;2 páginas;;;P.24-25;;1;Original;1;Impresso;1;25,00 x 34,00 cm;Acidificado / Amarelado;;;;;;12;7;4
1;BRFM_AM_01_005;1;3;;96;Situação social e política no Egito.;Civis ajudam Nasser mas pirâmide militar não cai;NULL;1964-06-14;;;Frederico Morais;1;1 página;;4;;;;Original;1;Impresso;1;32,00 x 56,00 cm;Acidificado / Amarelado, Dobrado;;;;;;12;7;5
1;BRFM_AM_01_006;1;3;;96;Situação social e política no Chipre.;Constituição, administração e tudo mais na Ilha é feito para marcar a divisão racial;NULL;1964-03-19;;;Frederico Morais;1;1 página;;96;;;;Original;1;Impresso;1;28,00 x 45,00 cm;Acidificado / Amarelado, Dobrado;;;;;;12;7;6
1;BRFM_AM_01_007;1;3;;96;Imagem do Brasil no exterior.;Como o Brasil é visto lá fora;NULL;;;;Frederico Morais;1;2 páginas;;;;;1;Original;1;Impresso;3;25,00 x 33,00 cm;Acidificado / Amarelado, Dobrado;;;;;;12;7;7
1;BRFM_AM_01_008;1;3;;96;Situação social e política na Checoslováquia.;Checoslováquia mostra os dois extremos de nação civilizada;NULL;1963-12-11;;;Frederico Morais;1;1 página;Belo Horizonte, MG;5;;;;Original;1;Impresso;1;22,00 x 56,50 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;12;7;8
1;BRFM_AM_01_009;1;3;;96;Situação social e política na Grécia.;A Grécia, uma emoção estética e o testemunho vivo do passado;NULL;1964-03-22;;;Frederico Morais;1;1 página;Belo Horizonte, MG;;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;12;7;9
1;BRFM_AM_01_010;1;3;;96;Situação social e política na Tunísia.; A mulher árabe, um mistério e um matriarcado;NULL;;;;Frederico Morais;1;1 página;;;;;1;Original;1;Impresso;1;10,50 x 14,50 cm;Acidificado / Amarelado, Manchado;;;;;;12;7;10
1;BRFM_AM_01_011;1;3;;96;Situação social e política na Argélia.; A mulher árabe, um mistério e um matriarcado;NULL;1964-02-02;;;Frederico Morais;1;1  página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Manchado, Rasgado, Oxidado;;;;;;12;7;11
1;BRFM_AM_01_012;1;3;;96;Viagem a bordo do navio Litva no mar Mediterrâneo.;Domingos brancos no azul verde do mar: o mundo é um só;NULL;1963-12-29;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Manchado, Rasgado, Dobrado, Oxidado;;;;;;12;7;12
