Coleção;codigo colecao;Identificação;Grupo;codigo grupo;Série;codigo serie;Subsérie;Espécie/Tipologia;Descrição;Título;Título atribuído;Data;Data / Periodo;;Autoria;Idioma;Quantidade;Local de produção;Veículo de publicação;Local de publicação;Tipo de publicação;Gênero ;Forma;Formato;Escritura;Suporte;Dimensão;Estado de Conservação;Observações;Documentos relacionados;Número da caixa;Nome da caixa;Número da pasta;Nome da pasta;NUMERO SERIE
1;1;BRFM_AM_05_049;1;1;7;7;;6;Arte brasileira do barroco ao modernismo.;Brasil: Barroco y antropofagia;;1905-06-04;;;Frederico Morais;Espanhol;1 página;Buenos Aires, Argentina;116;Nº31/32, p.14;;Textual;Original;1;Impresso;3;26,00 x 27,5,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 01;;1;1;;;49
1;1;BRFM_AM_05_050;1;1;7;7;;49;Entrevista feita por Frederico Morais com o crítico de arte Achille Bonito Oliva.;Bonito Oliva - Vanguarda é o sistema. Só pode existir nos países subdesenvolvidos;;;-/09/1975;;Frederico Morais;Português;6 páginas;Rio de Janeiro, RJ;71;Ano 1, Nº4, p.40-42;;Textual;Original;1;Impresso;3;21,5,00 x 28,00 cm;Manchado, rasgado;Doc. 02;;1;1;;;50
1;1;BRFM_AM_05_051;1;1;7;7;;6;"Artigos do crítico de arte Frederico Morais presentes em catálogo do prêmio de arte contemporânea ""Salão Brasília 2014"", no qual foi homenageado.";Crítico Homenageado - Frederico Morais;;;13/11/2014-11/01/2015;;Frederico Morais;Português;18 páginas;Brasília, DF;;P. 26-43;;Textual;Original;1;Impresso;3;21,00 x 24,5,00 cm;Bom;Doc. 03;;1;1;;;51
1;1;BRFM_AM_05_052;1;1;7;7;;6;Arte colombiana.;Colombia Un País Redondo;;;-/04/1978- -/06/1978;;Frederico Morais;Espanhol;6 páginas;Medellín, Colômbia;128;Ano 1, Nº1, p.18-23;;Textual;Original;1;Impresso;3;21,5,00 x 27,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 04;;1;1;;;52
1;1;BRFM_AM_05_053;1;1;7;7;;6;Arte latino-americana.;Do Transe ao Transitório - A Arte Latino-Americana a Caminho da Construção;;;-/01/1976- -/02/1976;;Frederico Morais;Português;5 páginas;Rio de Janeiro, RJ;71;Ano 1, N°7, p.30-34;;Textual;Original;1;Impresso;3;21,5,00 x 28,5,00 cm;Manchado ;Doc. 05;;1;1;;;53
1;1;BRFM_AM_05_054;1;1;7;7;;6;Arte e crítica de arte na América Latina.;Vulnerable, resistente: América Latina. Crítica de arte e liberación;;1905-05-31;;;Frederico Morais;Espanhol;16 páginas;Cidade do México, México;114;Nº5, p.34-45;;Textual;Original;1;Impresso;3;20,00 x 29,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 06;;1;1;;;54
1;1;BRFM_AM_05_055;1;1;7;7;;6;Arte brasileira no século XX.;Arte Brasileño: Orgia Creativa (Años 20 y 60);;;-10/1978;;Frederico Morais;Espanhol;21 páginas;Madrid, Espanha;#N/D;Nº47, p.117-137;;Textual;Original;1;Impresso;3;14,5,00 x 22,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 07;;1;1;;;55
1;1;BRFM_AM_05_056;1;1;7;7;;6;Relação entre arte e estruturas materiais da sociedade contemporânea.;A Arte e a Crise do Mundo Contemporâneo;;;-/05/1975;;Frederico Morais;Português;4 páginas;Rio de Janeiro, RJ;71;Ano 1, Nº0, p.37-40;;Textual;Original;1;Impresso;3;21,00 x 27,5,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 08;;1;1;;;56
1;1;BRFM_AM_05_057;1;1;7;7;;6;Resumo de questões relativas à arte e apresentação de críticos de arte, entre eles Frederico Morais.;Sistema de arte em questão. O que fazer?;;;-02/1978;;Roberto Pontual;Português;5 páginas;Rio de Janeiro, RJ;113;Ano 1, Nº8, p.51-55;;Textual;Original;1;Impresso;3;23,00 x 29,5,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 09;;1;1;;;57
1;1;BRFM_AM_05_058;1;1;7;7;;6;Comentários sobre o trabalho de crítica de arte.;A Crítica de Arte no Banco dos Réus;;;-/06/1979;;;Português;6 páginas;Rio de Janeiro, RJ;113;Ano 2, Nº24, p.52-56;;Textual;Original;1;Impresso;3;23,00 x 29,5,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 10;;1;1;;;58
